Input,distal,proximal
raw/static/trackTest-6Jan2022-C306-Y1/6/SRI_Original-2022-01-06T13_18_56.507,6,7
raw/static/trackTest-6Jan2022-C306-Y1/7/FH512_noDither_gradSpoiled-2022-01-06T13_42_09.570,6,7
raw/static/trackTest-6Jan2022-C306-Y1/7/SRI_Original-2022-01-06T13_43_10.518,6,7
raw/static/trackTest-6Jan2022-C306-Y1/8/FH512_noDither_gradSpoiled-2022-01-06T14_05_21.004,6,7
raw/static/trackTest-6Jan2022-C306-Y1/8/SRI_Original-2022-01-06T14_06_09.336,6,7
raw/static/trackTest-6Jan2022-C306-Y1/9/FH512_noDither_gradSpoiled-2022-01-06T14_16_23.847,6,7
raw/static/trackTest-6Jan2022-C306-Y1/9/SRI_Original-2022-01-06T14_17_20.062,6,7
raw/static/trackTest-7Jan2022-C306-Y2/10/FH512_noDither_gradSpoiled-2022-01-07T16_04_53.697,6,7
raw/static/trackTest-7Jan2022-C306-Y2/10/SRI_Original-2022-01-07T16_05_41.446,6,7
raw/static/trackTest-7Jan2022-C306-Y2/11/FH512_noDither_gradSpoiled-2022-01-07T16_20_08.213,6,7
raw/static/trackTest-7Jan2022-C306-Y2/11/SRI_Original-2022-01-07T16_21_34.862,6,7
raw/static/trackTest-7Jan2022-C306-Y2/12/FH512_noDither_gradSpoiled-2022-01-07T16_32_29.321,6,7
raw/static/trackTest-7Jan2022-C306-Y2/12/SRI_Original-2022-01-07T16_34_17.984,6,7
raw/static/trackTest-7Jan2022-C306-Y2/13/FH512_noDither_gradSpoiled-2022-01-07T16_48_02.904,6,7
raw/static/trackTest-7Jan2022-C306-Y2/13/SRI_Original-2022-01-07T16_49_20.369,6,7
raw/static/trackTest-7Jan2022-C306-Y2/14/FH512_noDither_gradSpoiled-2022-01-07T17_00_23.161,6,7
raw/static/trackTest-7Jan2022-C306-Y2/14/SRI_Original-2022-01-07T17_01_16.659,6,7
raw/static/trackTest-7Jan2022-C306-Y2/15/FH512_noDither_gradSpoiled-2022-01-07T17_11_25.121,6,7
raw/static/trackTest-7Jan2022-C306-Y2/15/SRI_Original-2022-01-07T17_12_13.353,6,7
raw/static/trackTest-7Jan2022-C306-Y2/16/FH512_noDither_gradSpoiled-2022-01-07T17_20_55.434,6,7
raw/static/trackTest-7Jan2022-C306-Y2/16/SRI_Original-2022-01-07T17_21_47.582,6,7
raw/static/trackTest-7Jan2022-C306-Y2/1/FH512_noDither_gradSpoiled-2022-01-07T13_19_44.256,6,7
raw/static/trackTest-7Jan2022-C306-Y2/1/SRI_Original-2022-01-07T13_20_28.238,6,7
raw/static/trackTest-7Jan2022-C306-Y2/2/FH512_noDither_gradSpoiled-2022-01-07T14_34_14.440,6,7
raw/static/trackTest-7Jan2022-C306-Y2/2/SRI_Original-2022-01-07T14_35_05.440,6,7
raw/static/trackTest-7Jan2022-C306-Y2/3/FH512_noDither_gradSpoiled-2022-01-07T14_45_45.466,6,7
raw/static/trackTest-7Jan2022-C306-Y2/3/SRI_Original-2022-01-07T14_46_31.714,6,7
raw/static/trackTest-7Jan2022-C306-Y2/4/FH512_noDither_gradSpoiled-2022-01-07T14_55_27.411,6,7
raw/static/trackTest-7Jan2022-C306-Y2/4/SRI_Original-2022-01-07T14_56_28.225,6,7
raw/static/trackTest-7Jan2022-C306-Y2/5/FH512_noDither_gradSpoiled-2022-01-07T15_07_16.102,6,7
raw/static/trackTest-7Jan2022-C306-Y2/5/SRI_Original-2022-01-07T15_08_49.632,6,7
raw/static/trackTest-7Jan2022-C306-Y2/6/FH512_noDither_gradSpoiled-2022-01-07T15_18_22.329,6,7
raw/static/trackTest-7Jan2022-C306-Y2/6/SRI_Original-2022-01-07T15_19_11.911,6,7
raw/static/trackTest-7Jan2022-C306-Y2/7/FH512_noDither_gradSpoiled-2022-01-07T15_29_34.789,6,7
raw/static/trackTest-7Jan2022-C306-Y2/7/SRI_Original-2022-01-07T15_30_26.970,6,7
raw/static/trackTest-7Jan2022-C306-Y2/8/FH512_noDither_gradSpoiled-2022-01-07T15_40_46.514,6,7
raw/static/trackTest-7Jan2022-C306-Y2/8/SRI_Original-2022-01-07T15_42_03.612,6,7
raw/static/trackTest-7Jan2022-C306-Y2/9/FH512_noDither_gradSpoiled-2022-01-07T15_52_48.488,6,7
raw/static/trackTest-7Jan2022-C306-Y2/9/SRI_Original-2022-01-07T15_55_44.017,6,7
raw/static/trackTest-8Nov2021-C222-Y1/10/FH512_noDither_gradSpoiled-2021-11-08T18_32_49.035,6,7
raw/static/trackTest-8Nov2021-C222-Y1/10/SRI_Original-2021-11-08T18_33_31.548,6,7
raw/static/trackTest-8Nov2021-C222-Y1/11/FH512_noDither_gradSpoiled-2021-11-08T18_44_53.278,6,7
raw/static/trackTest-8Nov2021-C222-Y1/11/SRI_Original-2021-11-08T18_46_03.923,6,7
raw/static/trackTest-8Nov2021-C222-Y1/12/FH512_noDither_gradSpoiled-2021-11-08T18_55_51.723,6,7
raw/static/trackTest-8Nov2021-C222-Y1/12/SRI_Original-2021-11-08T18_56_58.032,6,7
raw/static/trackTest-8Nov2021-C222-Y1/13/FH512_noDither_gradSpoiled-2021-11-08T19_12_39.134,6,7
raw/static/trackTest-8Nov2021-C222-Y1/13/SRI_Original-2021-11-08T19_13_27.231,6,7
raw/static/trackTest-8Nov2021-C222-Y1/14/FH512_noDither_gradSpoiled-2021-11-08T19_24_38.457,6,7
raw/static/trackTest-8Nov2021-C222-Y1/14/SRI_Original-2021-11-08T19_25_25.323,6,7
raw/static/trackTest-8Nov2021-C222-Y1/15/FH512_noDither_gradSpoiled-2021-11-08T19_36_22.732,6,7
raw/static/trackTest-8Nov2021-C222-Y1/15/SRI_Original-2021-11-08T19_37_07.464,6,7
raw/static/trackTest-8Nov2021-C222-Y1/16/FH512_noDither_gradSpoiled-2021-11-08T19_47_53.592,6,7
raw/static/trackTest-8Nov2021-C222-Y1/16/SRI_Original-2021-11-08T19_48_38.707,6,7
raw/static/trackTest-8Nov2021-C222-Y1/1/FH512_noDither_gradSpoiled-2021-11-08T15_52_01.435,6,7
raw/static/trackTest-8Nov2021-C222-Y1/1/SRI_Original-2021-11-08T15_51_01.804,6,7
raw/static/trackTest-8Nov2021-C222-Y1/2/FH512_noDither_gradSpoiled-2021-11-08T16_46_07.175,6,7
raw/static/trackTest-8Nov2021-C222-Y1/2/SRI_Original-2021-11-08T16_47_00.089,6,7
raw/static/trackTest-8Nov2021-C222-Y1/3/FH512_noDither_gradSpoiled-2021-11-08T16_31_55.837,6,7
raw/static/trackTest-8Nov2021-C222-Y1/3/SRI_Original-2021-11-08T16_30_42.668,6,7
raw/static/trackTest-8Nov2021-C222-Y1/4/FH512_noDither_gradSpoiled-2021-11-08T16_59_39.762,6,7
raw/static/trackTest-8Nov2021-C222-Y1/4/SRI_Original-2021-11-08T17_00_28.394,6,7
raw/static/trackTest-8Nov2021-C222-Y1/5/FH512_noDither_gradSpoiled-2021-11-08T17_12_23.036,6,7
raw/static/trackTest-8Nov2021-C222-Y1/5/SRI_Original-2021-11-08T17_13_10.767,6,7
raw/static/trackTest-8Nov2021-C222-Y1/6/FH512_noDither_gradSpoiled-2021-11-08T17_29_07.501,6,7
raw/static/trackTest-8Nov2021-C222-Y1/6/SRI_Original-2021-11-08T17_29_48.984,6,7
raw/static/trackTest-8Nov2021-C222-Y1/7/FH512_noDither_gradSpoiled-2021-11-08T17_40_42.146,6,7
raw/static/trackTest-8Nov2021-C222-Y1/7/SRI_Original-2021-11-08T17_41_29.242,6,7
